id,created_at,text
698711521245818880,2016-02-14 03:33:02,"""Dr. Carson? Dr. CARSON!"" #GOPDebate https://t.co/ILNfaVv5Ui"
698711283579777024,2016-02-14 03:32:06,"In the last debate Rubio repeated himself. In this debate, the debate repeats itself. #GOPDebate"
698710625594159104,2016-02-14 03:29:29,"Trump calls Jeb a liar, Jeb defends Ronald Reagan. Oy vey. #GOPDebate"
698710067844022275,2016-02-14 03:27:16,"GOP candidates vs Trump, unfortunately. #GOPDebate https://t.co/yfZRTeOBEQ"
698707694820024320,2016-02-14 03:17:50,You explicitly can't target one business with a tax. #GOPDebate
698707163921850369,2016-02-14 03:15:43,MRW Jeb Bush gets all fired up and goes on the offensive. #GOPDebate https://t.co/lWHJaJyQ3F
698706583430168577,2016-02-14 03:13:25,"Ladies and gentlemen, this is your #GOPDebate https://t.co/Rh052hVsOr"
698705870893350912,2016-02-14 03:10:35,Rubio vs Cruz #GOPDebate https://t.co/NVNJuKWCgP
698705496501415936,2016-02-14 03:09:06,They're trying to smear Jeb Bush with the concept of love. Let's see how he responds. #GOPDebate
698705213658517504,2016-02-14 03:07:58,I wonder if @AnaKasparian perked up when Ted Cruz busted out the spanish?
698705060973293568,2016-02-14 03:07:22,Rubio and Cruz both trying to convince us the other is a despicable guy. They're succeeding. #GOPDebate
698704820727775232,2016-02-14 03:06:25,Gandalf will guard our border before Mexico will pay one cent for a god damned wall. #GOPDebate https://t.co/BX7a7hViiw
698704484440997888,2016-02-14 03:05:05,"Trump: ""We don't have a BORDER. We don't have a carpet. We don't have central air!"" #GOPDebate"
698704186611888128,2016-02-14 03:03:54,It'll be a hilarious if Rubio's battery core ever drains down to 0%  in the middle of a debate. #GOPDebate
698703912501534720,2016-02-14 03:02:48,"Trump: "" The wall will be paid for by Mexico. Or Voldemort. Or something. Vote for me."" #GOPDebate"
698702326844948480,2016-02-14 02:56:30,Jeb's campaign spent months trying to jazz up his personality. They settled for a vibrant tie. #GOPDebate
698701822089781249,2016-02-14 02:54:30,"Ben Carson, thinking about jumping into the conversation. #GOPDebate https://t.co/vkvuaRimdf"
698701399601745921,2016-02-14 02:52:49,"GOP Candidate: ""We can't afford to put more debt on the backs of our children. They'll need those backs for manual labor."" #GOPDebate"
698700963641593856,2016-02-14 02:51:05,"Weird that they don't talk about ""size of government"" when promising to massively expand spending on the already bloated military #GOPDebate"
698700654534008832,2016-02-14 02:49:51,This moderator should open up a framing store. Cause she frames things... professionally. #GOPDebate
698700179944316929,2016-02-14 02:47:58,"In Ted Cruz's tax plan you pay 10% of a dream on the first $36,000 of a fantasy. In Narnia... Avada kadabra. #GOPDebate"
698699945625280515,2016-02-14 02:47:02,"Trump is gonna take jobs back from China, and its already working. I was just offered a job driving a bus in Shanghai. #GOPDebate"
698699615122563072,2016-02-14 02:45:44,"His ""106 year old"" talking point has been disproven multiple times already. #GOPDebate"
698698888874577920,2016-02-14 02:42:50,Trump vs Bush: #GOPDebate https://t.co/hr14HpID8R
698697920745312256,2016-02-14 02:39:00,"""Dr. Carson, why do you think more civilian deaths are acceptable. And let me remind you, you're a Christian."" #GOPDebate"
698697803762020352,2016-02-14 02:38:32,Dumb and Dumber: #GOPDebate Edition https://t.co/OJbIs1N8mi
698696604082044930,2016-02-14 02:33:46,"Trump: ""We should have NEVER been in Iraq. Also, we should control their entire oil industry."" #GOPDebate"
698695147790307329,2016-02-14 02:27:59,Jeb's right. Trump bromance with Putin won't make Russia give us one inch willingly. #GOPDebate
698694965392572416,2016-02-14 02:27:15,"I don't know why military strategists spend years studying. It all boils down to ""Knock them out!"" Duh. #GOPDebate"
698694475523067904,2016-02-14 02:25:18,"Jeb is THE ONLY person who can stand up to Putin, assuming Putin doesn't run a local Rotary Club. #GOPDebate"
698693848189394944,2016-02-14 02:22:49,@Bradley_Lance You tweeted me first buddy. It would be hard for me to initiate a convo since I have no idea who the fuck you are
698693166287851520,2016-02-14 02:20:06,@Bradley_Lance you are now the one person in the known universe who thinks thats what they were booing
698692943368966144,2016-02-14 02:19:13,"I assume the moderators never ask how much it would cost to ""take Iraq's oil"" because they think it would be... free? #GOPDebate"
698692539713327104,2016-02-14 02:17:37,Trump's face and that background have a lot in common. #GOPDebate
698692315351678977,2016-02-14 02:16:43,"There's only one honest answer: ""We don't ever want a Democrat to nominate a SC justice."" The rest is BS BS BS BS BS BS. #GOPDebate"
698692000501989376,2016-02-14 02:15:28,The #GOPDebate audience just booed a fact being stated long after it should have been.
698691923180068864,2016-02-14 02:15:10,"That's not a PRECEDENT, that's a historic coincidence. #GOPDebate"
698691650483191808,2016-02-14 02:14:05,This is the problem when INSANE people think they're reasonable. #GOPDebate
698691509042810880,2016-02-14 02:13:31,"BTW, ""filibuster"" appears in the constitution as many times as ""lame duck,"" Megatron, and abracadabra. #GOPDebate"
698691142817173504,2016-02-14 02:12:04,"Rubio citing the all important ""lame duck"" article of the constitution. #GOPDebate"
698690892291375104,2016-02-14 02:11:04,"@davidpaden yeah trump told the truth, to his credit. ben carson has no idea"
698690677350100994,2016-02-14 02:10:13,"Yeah and back then we didn't have automatic machine guns, Ben Carson. Does that affect how you see the 2nd amendment? #GOPDebate"
698690548102631424,2016-02-14 02:09:42,HE DOESN'T KNOW WHO THE CONSTITUTION SAYS SHOULD NOMINATE JUSTICES?!? #GOPDebate
698690370847178752,2016-02-14 02:09:00,@aterkel Maybe Jesus. Maybe. Probably not.
698690225896189952,2016-02-14 02:08:25,Weird the candidates aren't asked if the Democrats should block THEM nominating anyone in the last year of their Presidency... #GOPDebate
698670350976987136,2016-02-14 00:49:26,Only cable news can make Obama upholding his duty as President sound like a bold political maneuver.
698670040741126145,2016-02-14 00:48:13,#FeelTheBern https://t.co/HwfGN7xaY5
698668188087635969,2016-02-14 00:40:51,"RT @JamilSmith: The last two times the American voters had a voice in who should nominate Supreme Court Justices, @senatemajldr, they picke…"
698667044535808001,2016-02-14 00:36:18,Hasn't this happened in every single case throughout American history where a Justice has died or stepped down? https://t.co/fBTFmtOHdf
698663944655745024,2016-02-14 00:23:59,"When thinking about Obama's path to getting a new Justice confirmed, remember which current Dem candidate is against ""contentious debates."""
698659614590566400,2016-02-14 00:06:47,"Crap! Per the constitution,  ""the President shall nominate Justices... but not, like, if that would be inconvenient for the GOP."""
698659267914502144,2016-02-14 00:05:24,"RT @AthertonKD: Fun fact: in the constitution, the sitting president gets to appoint justices https://t.co/GZUCDRoD9j"
